Timestamp,Violation
2026-07-04 23:51:58,ZONE VIOLATION
2026-07-04 23:52:13,ZONE VIOLATION
2026-07-04 23:59:55,PPE Detection,ZONE VIOLATION
2026-07-05 00:00:10,PPE Detection,ZONE VIOLATION
2026-07-05 00:01:56,PPE Detection,ZONE VIOLATION
2026-07-05 00:02:11,PPE Detection,ZONE VIOLATION
2026-07-05 00:03:58,Region Compliance,ZONE VIOLATION
2026-07-05 00:21:24,ZONE VIOLATION
2026-07-05 00:21:24,HELMET VIOLATION
2026-07-05 00:21:24,VEST VIOLATION
2026-07-05 00:21:29,ZONE VIOLATION
2026-07-05 00:21:29,HELMET VIOLATION
2026-07-05 00:21:32,VEST VIOLATION
2026-07-05 00:21:34,ZONE VIOLATION
2026-07-05 00:21:34,HELMET VIOLATION
2026-07-05 00:21:39,ZONE VIOLATION
2026-07-05 00:21:39,HELMET VIOLATION
2026-07-05 00:21:41,VEST VIOLATION
2026-07-05 00:21:44,ZONE VIOLATION
2026-07-05 00:21:44,HELMET VIOLATION
2026-07-05 00:21:46,VEST VIOLATION
2026-07-05 00:21:49,ZONE VIOLATION
2026-07-05 00:21:49,HELMET VIOLATION
2026-07-05 00:21:56,ZONE VIOLATION
2026-07-05 00:21:56,HELMET VIOLATION
2026-07-05 00:21:56,VEST VIOLATION
2026-07-05 00:22:01,ZONE VIOLATION
2026-07-05 00:22:01,HELMET VIOLATION
2026-07-05 00:22:01,VEST VIOLATION
2026-07-05 00:22:06,ZONE VIOLATION
2026-07-05 00:22:06,HELMET VIOLATION
2026-07-05 00:22:06,VEST VIOLATION
2026-07-05 00:22:12,ZONE VIOLATION
2026-07-05 00:22:12,HELMET VIOLATION
2026-07-05 00:22:12,VEST VIOLATION
2026-07-05 00:22:17,ZONE VIOLATION
2026-07-05 00:22:17,HELMET VIOLATION
2026-07-05 00:22:17,VEST VIOLATION
2026-07-05 00:25:54,ZONE VIOLATION
2026-07-05 00:25:54,VEST VIOLATION
2026-07-05 00:25:57,HELMET VIOLATION
2026-07-05 00:26:10,ZONE VIOLATION
2026-07-05 00:26:10,HELMET VIOLATION
2026-07-05 00:26:14,VEST VIOLATION
2026-07-05 00:26:15,ZONE VIOLATION
2026-07-05 00:26:15,HELMET VIOLATION
2026-07-05 00:26:20,ZONE VIOLATION
2026-07-05 00:26:20,HELMET VIOLATION
2026-07-05 00:26:20,VEST VIOLATION
2026-07-05 00:26:25,ZONE VIOLATION
2026-07-05 00:26:25,HELMET VIOLATION
2026-07-05 00:26:25,VEST VIOLATION
2026-07-05 23:30:58,ZONE VIOLATION
2026-07-05 23:30:58,HELMET VIOLATION
2026-07-05 23:30:58,VEST VIOLATION
2026-07-05 23:31:03,ZONE VIOLATION
2026-07-05 23:31:03,HELMET VIOLATION
2026-07-05 23:31:03,VEST VIOLATION
2026-07-05 23:31:08,ZONE VIOLATION
2026-07-05 23:31:08,HELMET VIOLATION
2026-07-05 23:31:08,VEST VIOLATION
2026-07-05 23:31:13,ZONE VIOLATION
2026-07-05 23:31:13,HELMET VIOLATION
2026-07-05 23:31:13,VEST VIOLATION
2026-07-05 23:35:34,ZONE VIOLATION
2026-07-05 23:35:34,HELMET VIOLATION
2026-07-05 23:35:34,VEST VIOLATION
2026-07-05 23:35:42,ZONE VIOLATION
2026-07-05 23:35:42,HELMET VIOLATION
2026-07-05 23:35:42,VEST VIOLATION
2026-07-05 23:35:56,ZONE VIOLATION
2026-07-05 23:35:56,HELMET VIOLATION
2026-07-05 23:35:56,VEST VIOLATION
2026-07-05 23:36:01,ZONE VIOLATION
2026-07-05 23:36:01,HELMET VIOLATION
2026-07-05 23:36:01,VEST VIOLATION
2026-07-05 23:36:06,ZONE VIOLATION
2026-07-05 23:36:06,HELMET VIOLATION
2026-07-05 23:36:06,VEST VIOLATION
2026-07-05 23:36:11,ZONE VIOLATION
2026-07-05 23:36:11,HELMET VIOLATION
2026-07-05 23:36:11,VEST VIOLATION
